"registry_code","discription","start","end","latitude","longitude"
572401399,"Spain, Cuenca",2008,2011,40.0681156,-2.1348241
572401099,"Spain, Girona",2008,2012,41.9793006,2.8199439
572400299,"Spain, Granada",2008,2012,37.183054,-3.6021928
572401499,"Spain, La Rioja",2008,2012,42.3285528,-2.4674917
572400899,"Spain, Mallorca",2008,2011,39.6134018,2.8804305
572400399,"Spain, Murcia",2008,2010,37.9923795,-1.1305431
572400499,"Spain, Navarra",2008,2010,42.6125488,-1.8307877
572400199,"Spain, Tarragona",2008,2012,41.1172364,1.2546057
575601299,"Switzerland, Fribourg",2008,2012,46.6789116,7.1027113
575600299,"Switzerland, Geneva",2008,2012,46.2017559,6.1466014
575601199,"Switzerland, Graubunden and Glarus",2008,2012,46.8559938,9.1039546
575600399,"Switzerland, Neuchatel",2008,2012,46.9895828,6.9292641
575600499,"Switzerland, St Gall-Appenzell",2008,2012,47.33103,9.40996
575601099,"Switzerland, Ticino",2008,2012,46.3356506,8.753706
575600899,"Switzerland, Valais",2008,2012,46.2303063,7.6605757
575600599,"Switzerland, Vaud",2008,2012,46.6356963,6.5320717
575600699,"Switzerland, Zurich",2008,2012,47.3723941,8.5423328
580400099,"Ukraine",2008,2012,49.4871968,31.2718321
582600099,"United Kingdom",2008,2012,55.367,-3.9614184
582600199,"UK, England",2008,2012,52.7954791,-0.5402403
582601199,"UK, England, East",2008,2012,51.3811042,-2.3227594
582600799,"UK, England, East Midlands",2008,2012,52.7965752,-0.6718223
582601599,"UK, England, London",2008,2012,51.5073219,-0.1276474
582600999,"UK, England, North East",2008,2012,52.4160035,-1.9701231
582600399,"UK, England, North West",2008,2012,52.2370231,-0.4686149
582600699,"UK, England, South West",2008,2012,50.5947727,-1.9521987
582600499,"UK, England, South East",2008,2012,51.4510191,-0.9934914
582600299,"UK, England, West Midlands",2008,2012,52.5050033,-1.9643961
582601099,"UK, England, Yorkshire and The Humber",2008,2012,53.9318994,-1.1664717
582603099,"UK, Northern Ireland",2008,2012,54.6294982,-6.7654416
582602099,"UK, Scotland",2008,2012,56.7861112,-4.1140518
582604099,"UK, Wales",2008,2012,52.2928116,-3.73893
603600099,"Australia",2008,2012,-24.7761086,134.755
603600299,"Australia, New South Wales",2008,2012,-31.8759835,147.2869493
603600899,"Australia, Northern Territory",2008,2012,-19.8516101,133.2303375
603600399,"Australia, Queensland",2008,2012,-22.1646782,144.5844903
603600499,"South Australia",2008,2012,-30.5343665,135.6301212
603600599,"Australia, Tasmania",2008,2012,-42.1422055,146.6723518
603600699,"Australia, Victoria",2008,2012,-36.5986096,144.6780052
603600799,"Western Australia",2008,2012,-25.2303005,121.0187246
625009399,"New Caledonia",2008,2011,-21.2356319,165.2443915
655400099,"New Zealand",2008,2012,-41.5000831,172.8344077
684009999,"USA, Hawaii",2008,2012,21.2160437,-157.975203
684009899,"USA, Pacific Islands",2008,2012,46.668153,-123.9615552
