"registry_code","sex","age_group","number_of_cases","person_years_at_risk","discription","start","end","latitude","longitude"
180000299,2,16,4,49483,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,19,0,0,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,17,2,0,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,1,1,808064,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,15,7,27693,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,18,0,0,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,6,2,663556,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,18,0,0,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,11,5,84611,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,10,6,110896,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,7,2,398930,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,12,5,44769,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,9,3,189586,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,4,1,818162,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,19,0,0,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,1,0,795943,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,13,6,46612,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,5,0,915445,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,2,0,725158,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,5,2,689728,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,17,0,0,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,8,2,260288,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,3,0,740295,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,2,14,5,25289,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,11,4,83854,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,15,5,17811,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,12,4,44639,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,16,1,33183,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,14,3,22128,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,9,7,204526,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,2,0,706351,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,13,5,38770,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,10,7,119598,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,8,2,274251,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,4,1,597690,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,7,3,449551,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,6,0,610196,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
180000299,1,3,0,617588,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
203200599,2,17,29,67345,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,18,13,0,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,2,0,190827,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,1,0,188142,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
